hour	channel	value	hour_text	channel_text	programs
1	1	0	16 Sep 2015 23:00 UTC	AlJazeera	None
1	2	732	16 Sep 2015 23:00 UTC	CNN	CNN Republican Primary Debate Undercard, Erin Burnett Out Front
1	3	263	16 Sep 2015 23:00 UTC	FOX-News	On the Record with Greta Van Susteren
1	4	0	16 Sep 2015 23:00 UTC	France	None
1	5	0	16 Sep 2015 23:00 UTC	HLN	None
1	6	0	16 Sep 2015 23:00 UTC	KABC	None
1	7	180	16 Sep 2015 23:00 UTC	KCAL	KCAL 9 News at 4PM
1	8	0	16 Sep 2015 23:00 UTC	KCBS	None
1	9	0	16 Sep 2015 23:00 UTC	KMEX	None
1	10	90	16 Sep 2015 23:00 UTC	KNBC	The Ellen DeGeneres Show
1	11	0	16 Sep 2015 23:00 UTC	KTTV-FOX	None
1	12	247	16 Sep 2015 23:00 UTC	MSNBC	Hardball with Chris Matthews
1	13	0	16 Sep 2015 23:00 UTC	Spain	None
1	14	0	16 Sep 2015 23:00 UTC	WEWS	None
1	15	72	16 Sep 2015 23:00 UTC	WKYC	Channel 3 News at 7
1	16	0	16 Sep 2015 23:00 UTC	WUAB	None
1	17	155	16 Sep 2015 23:00 UTC	World	France 24, Deutsche Welle Journal
2	1	254	17 Sep 2015 00:00 UTC	AlJazeera	News
2	2	740	17 Sep 2015 00:00 UTC	CNN	Anderson Cooper 360, CNN Republican Primary Debate
2	3	243	17 Sep 2015 00:00 UTC	FOX-News	The OReilly Factor
2	4	0	17 Sep 2015 00:00 UTC	France	None
2	5	111	17 Sep 2015 00:00 UTC	HLN	Nancy Grace
2	6	199	17 Sep 2015 00:00 UTC	KABC	Eyewitness News 5PM
2	7	0	17 Sep 2015 00:00 UTC	KCAL	None
2	8	149	17 Sep 2015 00:00 UTC	KCBS	CBS 2 News at 5PM
2	9	215	17 Sep 2015 00:00 UTC	KMEX	Primer Impacto
2	10	116	17 Sep 2015 00:00 UTC	KNBC	Channel 4 News
2	11	0	17 Sep 2015 00:00 UTC	KTTV-FOX	None
2	12	219	17 Sep 2015 00:00 UTC	MSNBC	All In With Chris Hayes
2	13	0	17 Sep 2015 00:00 UTC	Spain	None
2	14	0	17 Sep 2015 00:00 UTC	WEWS	None
2	15	0	17 Sep 2015 00:00 UTC	WKYC	None
2	16	0	17 Sep 2015 00:00 UTC	WUAB	None
2	17	238	17 Sep 2015 00:00 UTC	World	BBC World News America, Nightly Business Report
3	1	228	17 Sep 2015 01:00 UTC	AlJazeera	News
3	2	273	17 Sep 2015 01:00 UTC	CNN	CNN Republican Primary Debate
3	3	61	17 Sep 2015 01:00 UTC	FOX-News	The Kelly File
3	4	0	17 Sep 2015 01:00 UTC	France	None
3	5	55	17 Sep 2015 01:00 UTC	HLN	HLN Dr Drew
3	6	241	17 Sep 2015 01:00 UTC	KABC	Eyewitness News 6PM, World News Tonight With David Muir
3	7	0	17 Sep 2015 01:00 UTC	KCAL	None
3	8	7	17 Sep 2015 01:00 UTC	KCBS	CBS 2 News at 6, CBS Evening News
3	9	171	17 Sep 2015 01:00 UTC	KMEX	Noticias 34, Noticiero Univision
3	10	163	17 Sep 2015 01:00 UTC	KNBC	Channel 4 News, NBC Nightly News
3	11	0	17 Sep 2015 01:00 UTC	KTTV-FOX	None
3	12	317	17 Sep 2015 01:00 UTC	MSNBC	The Rachel Maddow Show
3	13	0	17 Sep 2015 01:00 UTC	Spain	None
3	14	0	17 Sep 2015 01:00 UTC	WEWS	None
3	15	0	17 Sep 2015 01:00 UTC	WKYC	None
3	16	0	17 Sep 2015 01:00 UTC	WUAB	None
3	17	144	17 Sep 2015 01:00 UTC	World	BBC World News, Newsline
4	1	190	17 Sep 2015 02:00 UTC	AlJazeera	min, Ali Velshi on Target
4	2	648	17 Sep 2015 02:00 UTC	CNN	CNN Republican Primary Debate, CNN Tonight
4	3	249	17 Sep 2015 02:00 UTC	FOX-News	Hannity
4	4	0	17 Sep 2015 02:00 UTC	France	None
