hour	channel	value	hour_text	channel_text	programs
1	1	0	16 Sep 2015 23:00 UTC	AlJazeera	None
1	2	919	16 Sep 2015 23:00 UTC	CNN	CNN Republican Primary Debate Undercard, Erin Burnett Out Front
1	3	366	16 Sep 2015 23:00 UTC	FOX-News	On the Record with Greta Van Susteren
1	4	0	16 Sep 2015 23:00 UTC	France	None
1	5	0	16 Sep 2015 23:00 UTC	HLN	None
1	6	0	16 Sep 2015 23:00 UTC	KABC	None
1	7	0	16 Sep 2015 23:00 UTC	KCAL	None
1	8	0	16 Sep 2015 23:00 UTC	KCBS	None
1	9	0	16 Sep 2015 23:00 UTC	KMEX	None
1	10	0	16 Sep 2015 23:00 UTC	KNBC	None
1	11	0	16 Sep 2015 23:00 UTC	KTTV-FOX	None
1	12	343	16 Sep 2015 23:00 UTC	MSNBC	Hardball with Chris Matthews
1	13	0	16 Sep 2015 23:00 UTC	Spain	None
1	14	0	16 Sep 2015 23:00 UTC	WEWS	None
1	15	0	16 Sep 2015 23:00 UTC	WKYC	None
1	16	0	16 Sep 2015 23:00 UTC	WUAB	None
1	17	0	16 Sep 2015 23:00 UTC	World	None
2	1	0	17 Sep 2015 00:00 UTC	AlJazeera	None
2	2	941	17 Sep 2015 00:00 UTC	CNN	Anderson Cooper 360, CNN Republican Primary Debate
2	3	326	17 Sep 2015 00:00 UTC	FOX-News	The OReilly Factor
2	4	0	17 Sep 2015 00:00 UTC	France	None
2	5	0	17 Sep 2015 00:00 UTC	HLN	None
2	6	309	17 Sep 2015 00:00 UTC	KABC	Eyewitness News 5PM
2	7	0	17 Sep 2015 00:00 UTC	KCAL	None
2	8	0	17 Sep 2015 00:00 UTC	KCBS	None
2	9	0	17 Sep 2015 00:00 UTC	KMEX	None
2	10	0	17 Sep 2015 00:00 UTC	KNBC	None
2	11	0	17 Sep 2015 00:00 UTC	KTTV-FOX	None
2	12	308	17 Sep 2015 00:00 UTC	MSNBC	All In With Chris Hayes
2	13	0	17 Sep 2015 00:00 UTC	Spain	None
2	14	0	17 Sep 2015 00:00 UTC	WEWS	None
2	15	0	17 Sep 2015 00:00 UTC	WKYC	None
2	16	0	17 Sep 2015 00:00 UTC	WUAB	None
2	17	146	17 Sep 2015 00:00 UTC	World	Nightly Business Report
3	1	0	17 Sep 2015 01:00 UTC	AlJazeera	None
3	2	406	17 Sep 2015 01:00 UTC	CNN	CNN Republican Primary Debate
3	3	0	17 Sep 2015 01:00 UTC	FOX-News	None
3	4	0	17 Sep 2015 01:00 UTC	France	None
